"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 06","1,276.7","1,270.1","1,280.4","1,224.5","-","0.51%"
"Jun 06","1,270.2","1,270.1","1,290.7","1,219.3","-","0.01%"
"May 06","1,270.1","1,310.6","1,326.7","1,245.3","-","-3.09%"
"Apr 06","1,310.6","1,302.9","1,318.2","1,280.7","-","1.22%"
"Mar 06","1,294.8","1,280.7","1,310.9","1,268.4","-","1.11%"
"Feb 06","1,280.7","1,280.1","1,297.6","1,253.6","-","0.05%"
"Jan 06","1,280.1","1,248.3","1,294.9","1,245.7","-","2.55%"
"Dec 05","1,248.3","1,249.5","1,275.8","1,246.6","-","-0.10%"
"Nov 05","1,249.5","1,207.0","1,270.6","1,201.1","-","3.52%"
"Oct 05","1,207.0","1,228.8","1,233.3","1,168.2","-","-1.77%"
"Sep 05","1,228.8","1,220.3","1,243.1","1,205.3","-","0.69%"
"Aug 05","1,220.3","1,234.2","1,245.9","1,201.1","-","-1.12%"
"Jul 05","1,234.2","1,191.3","1,245.2","1,183.6","-","3.60%"
"Jun 05","1,191.3","1,191.5","1,219.6","1,188.3","-","-0.01%"
"May 05","1,191.5","1,156.8","1,199.6","1,146.2","-","3.00%"
"Apr 05","1,156.8","1,180.6","1,191.9","1,136.2","-","-2.01%"
"Mar 05","1,180.6","1,203.6","1,229.1","1,163.7","-","-1.91%"
"Feb 05","1,203.6","1,181.3","1,212.4","1,180.9","-","1.89%"
"Jan 05","1,181.3","1,211.9","1,217.9","1,163.8","-","-2.53%"
"Dec 04","1,211.9","1,173.8","1,217.3","1,173.8","-","3.25%"
"Nov 04","1,173.8","1,130.2","1,188.5","1,127.5","-","3.86%"
"Oct 04","1,130.2","1,114.6","1,142.1","1,090.2","-","1.40%"
"Sep 04","1,114.6","1,104.2","1,131.5","1,099.1","-","0.94%"
"Aug 04","1,104.2","1,101.7","1,109.7","1,060.7","-","0.23%"
"Jul 04","1,101.7","1,140.8","1,140.8","1,078.8","-","-3.43%"
"Jun 04","1,140.8","1,120.7","1,146.3","1,113.3","-","1.80%"
"May 04","1,120.7","1,107.3","1,127.7","1,076.3","-","1.21%"
"Apr 04","1,107.3","1,126.2","1,150.6","1,107.2","-","-1.68%"
"Mar 04","1,126.2","1,144.9","1,163.2","1,087.1","-","-1.64%"
"Feb 04","1,144.9","1,131.1","1,159.0","1,124.4","-","1.22%"
"Jan 04","1,131.1","1,111.9","1,155.4","1,105.1","-","1.73%"
"Dec 03","1,111.9","1,058.2","1,112.6","1,053.4","-","5.08%"
"Nov 03","1,058.2","1,050.7","1,063.7","1,031.2","-","0.71%"
"Oct 03","1,050.7","996.0","1,053.8","996.0","-","5.50%"
"Sep 03","996.0","1,008.0","1,040.3","990.4","-","-1.19%"
"Aug 03","1,008.0","990.3","1,011.0","960.8","-","1.48%"
"Jul 03","993.3","974.5","1,015.4","962.1","-","1.93%"
"Jun 03","974.5","963.6","1,015.3","963.6","-","1.13%"
"May 03","963.6","916.9","965.4","902.8","-","5.09%"
"Apr 03","916.9","848.2","924.2","847.8","-","8.10%"
"Mar 03","848.2","841.2","895.9","788.9","-","0.84%"
"Feb 03","841.2","855.7","864.6","806.3","-","-1.70%"
"Jan 03","855.7","879.8","935.0","840.3","-","-2.74%"
"Dec 02","879.8","936.3","954.3","869.5","-","-6.03%"
"Nov 02","936.3","885.8","941.8","872.0","-","5.71%"
"Oct 02","885.8","815.3","907.4","768.6","-","8.64%"
"Sep 02","815.3","916.1","924.0","800.2","-","-11.00%"
"Aug 02","916.1","911.6","965.0","833.4","-","0.49%"
"Jul 02","911.6","989.8","994.5","775.7","-","-7.90%"
"Jun 02","989.8","1,067.1","1,070.7","952.9","-","-7.25%"
"May 02","1,067.1","1,076.9","1,106.6","1,049.0","-","-0.91%"
"Apr 02","1,076.9","1,147.4","1,147.8","1,063.5","-","-6.14%"
"Mar 02","1,147.4","1,106.7","1,173.9","1,106.7","-","3.67%"
"Feb 02","1,106.7","1,130.2","1,130.2","1,074.4","-","-2.08%"
"Jan 02","1,130.2","1,148.1","1,177.0","1,081.7","-","-1.56%"
"Dec 01","1,148.1","1,139.4","1,173.6","1,114.5","-","0.76%"
"Nov 01","1,139.4","1,059.8","1,163.4","1,054.3","-","7.52%"
"Oct 01","1,059.8","1,040.9","1,110.6","1,026.8","-","1.81%"
"Sep 01","1,040.9","1,133.6","1,155.4","944.8","-","-8.17%"
"Aug 01","1,133.6","1,211.2","1,226.3","1,124.9","-","-6.41%"
"Jul 01","1,211.2","1,224.4","1,239.8","1,165.5","-","-1.07%"
"Jun 01","1,224.4","1,255.8","1,286.6","1,203.0","-","-2.50%"
"May 01","1,255.8","1,249.5","1,315.9","1,232.0","-","0.51%"
"Apr 01","1,249.5","1,160.3","1,269.3","1,092.0","-","7.68%"
"Mar 01","1,160.3","1,239.9","1,267.4","1,081.2","-","-6.42%"
"Feb 01","1,239.9","1,366.0","1,376.4","1,215.4","-","-9.23%"
"Jan 01","1,366.0","1,320.3","1,383.4","1,274.6","-","3.46%"
"Dec 00","1,320.3","1,314.9","1,389.1","1,254.1","-","0.41%"
"Nov 00","1,314.9","1,429.4","1,438.5","1,294.9","-","-8.01%"
"Oct 00","1,429.4","1,436.5","1,454.8","1,305.8","-","-0.49%"
"Sep 00","1,436.5","1,517.7","1,530.1","1,419.4","-","-5.35%"
"Aug 00","1,517.7","1,430.8","1,525.2","1,425.4","-","6.07%"
"Jul 00","1,430.8","1,454.6","1,517.3","1,413.9","-","-1.63%"
"Jun 00","1,454.6","1,420.6","1,488.9","1,420.6","-","2.39%"
"May 00","1,420.6","1,452.4","1,481.5","1,361.1","-","-2.19%"
"Apr 00","1,452.4","1,498.6","1,527.2","1,339.4","-","-3.08%"
"Mar 00","1,498.6","1,366.4","1,552.9","1,346.6","-","9.67%"
"Feb 00","1,366.4","1,394.5","1,444.6","1,325.1","-","-2.01%"
"Jan 00","1,394.5","1,469.3","1,478.0","1,350.1","-","-5.09%"
"Dec 99","1,469.3","1,388.9","1,473.1","1,387.4","-","5.78%"
"Nov 99","1,388.9","1,362.9","1,425.3","1,346.4","-","1.91%"
"Oct 99","1,362.9","1,282.7","1,373.2","1,233.7","-","6.25%"
"Sep 99","1,282.7","1,320.4","1,361.4","1,256.3","-","-2.86%"
"Aug 99","1,320.4","1,328.7","1,382.8","1,267.7","-","-0.63%"
"Jul 99","1,328.7","1,372.7","1,420.3","1,328.5","-","-3.20%"
"Jun 99","1,372.7","1,301.8","1,372.9","1,277.5","-","5.44%"
"May 99","1,301.8","1,335.2","1,376.0","1,277.3","-","-2.50%"
"Apr 99","1,335.2","1,286.4","1,371.6","1,282.6","-","3.79%"
"Mar 99","1,286.4","1,238.3","1,323.8","1,216.0","-","3.88%"
"Feb 99","1,238.3","1,279.6","1,283.8","1,211.9","-","-3.23%"
"Jan 99","1,279.6","1,229.2","1,280.4","1,205.5","-","4.10%"
"Dec 98","1,229.2","1,163.6","1,244.9","1,136.9","-","5.64%"
"Nov 98","1,163.6","1,098.7","1,193.0","1,098.7","-","5.91%"
"Oct 98","1,098.7","1,017.0","1,103.8","923.3","-","8.03%"
"Sep 98","1,017.0","957.3","1,066.1","940.0","-","6.24%"
"Aug 98","957.3","1,120.7","1,121.8","957.3","-","-14.58%"
"Jul 98","1,120.7","1,133.8","1,190.6","1,114.3","-","-1.16%"
"Jun 98","1,133.8","1,090.8","1,145.2","1,074.7","-","3.94%"
"May 98","1,090.8","1,111.8","1,130.5","1,074.4","-","-1.88%"
"Apr 98","1,111.8","1,101.8","1,133.0","1,076.7","-","0.91%"
"Mar 98","1,101.8","1,049.3","1,113.1","1,030.9","-","4.99%"
"Feb 98","1,049.3","980.3","1,051.7","980.3","-","7.04%"
"Jan 98","980.3","970.4","992.7","912.8","-","1.02%"
"Dec 97","970.4","955.4","986.3","924.9","-","1.57%"
"Nov 97","955.4","914.6","964.5","900.6","-","4.46%"
"Oct 97","914.6","947.3","983.1","855.3","-","-3.45%"
"Sep 97","947.3","899.5","960.6","899.5","-","5.32%"
"Aug 97","899.5","954.3","964.2","893.3","-","-5.75%"
"Jul 97","954.3","885.1","957.7","884.5","-","7.81%"
"Jun 97","885.1","848.3","902.1","838.8","-","4.35%"
"May 97","848.3","801.3","851.9","793.2","-","5.86%"
"Apr 97","801.3","757.1","804.1","733.5","-","5.84%"
"Mar 97","757.1","790.8","814.9","756.1","-","-4.26%"
"Feb 97","790.8","786.2","817.7","773.4","-","0.59%"
"Jan 97","786.2","740.7","794.7","729.5","-","6.13%"
"Dec 96","740.7","757.0","761.8","716.7","-","-2.15%"
"Nov 96","757.0","705.3","762.1","701.3","-","7.34%"
"Oct 96","705.3","687.3","714.1","684.4","-","2.61%"
"Sep 96","687.3","652.0","690.9","644.0","-","5.42%"
"Aug 96","652.0","640.0","670.7","639.5","-","1.88%"
"Jul 96","640.0","670.6","675.9","605.9","-","-4.57%"
"Jun 96","670.6","669.1","680.3","658.8","-","0.23%"
"May 96","669.1","654.2","681.1","630.1","-","2.29%"
"Apr 96","654.2","645.5","656.7","624.1","-","1.34%"
